competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2017,47,Ilha do Retiro,mandante,SPORT - PE,pro,Osvaldo,10' (2ºT),55.0
Brasileirao,2017,47,Ilha do Retiro,mandante,SPORT - PE,pro,Thomas,38' (2ºT),83.0
Brasileirao,2017,48,Arena Fonte Nova,mandante,BAHIA - BA,pro,Edigar Junio,18' (1ºT),18.0
Brasileirao,2017,49,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Everaldo,36' (1ºT),36.0
Brasileirao,2017,49,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Everaldo,44' (1ºT),44.0
Brasileirao,2017,49,Olímpico Pedro Ludovico,mandante,ATLETICO - GO,pro,Luiz Fernando,31' (2ºT),76.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Michel,20' (1ºT),20.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Michel,26' (1ºT),26.0
Brasileirao,2017,50,Arena Condá,mandante,CHAPECOENSE - SC,pro,Luiz Antonio,34' (1ºT),34.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Everton,14' (2ºT),59.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Everton,15' (2ºT),60.0
Brasileirao,2017,50,Arena Condá,mandante,CHAPECOENSE - SC,pro,Reinaldo,27' (2ºT),72.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Everton,35' (2ºT),80.0
Brasileirao,2017,50,Arena Condá,mandante,CHAPECOENSE - SC,pro,Arthur Caike,44' (2ºT),89.0
Brasileirao,2017,50,Arena Condá,visitante,GREMIO - RS,pro,Luan,45' (2ºT),90.0
Brasileirao,2017,51,Nilton Santos,visitante,CORITIBA - PR,pro,K. Giacomazzi,7' (1ºT),7.0
Brasileirao,2017,51,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Roger,22' (1ºT),22.0
Brasileirao,2017,51,Nilton Santos,visitante,CORITIBA - PR,pro,H. Almeida,9' (2ºT),54.0
Brasileirao,2017,51,Nilton Santos,mandante,BOTAFOGO - RJ,pro,Carli,20' (2ºT),65.0
Brasileirao,2017,52,São Januário,mandante,VASCO DA GAMA - RJ,pro,Luis Fabiano,17' (2ºT),62.0
Brasileirao,2017,52,São Januário,mandante,VASCO DA GAMA - RJ,pro,Douglas Luiz,45' (2ºT),90.0
Brasileirao,2017,52,São Januário,visitante,SPORT - PE,pro,Andre Felipe,45+3' (2ºT),90.5
Brasileirao,2017,53,Allianz Parque,mandante,PALMEIRAS - SP,pro,Guerra,9' (1ºT),9.0
Brasileirao,2017,53,Allianz Parque,visitante,FLUMINENSE - RJ,pro,Henrique Dourado,18' (1ºT),18.0
Brasileirao,2017,53,Allianz Parque,mandante,PALMEIRAS - SP,pro,Keno,40' (1ºT),40.0
Brasileirao,2017,53,Allianz Parque,mandante,PALMEIRAS - SP,pro,Roger Guedes,45+3' (2ºT),90.5
Brasileirao,2017,54,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Angel Romero,6' (1ºT),6.0
Brasileirao,2017,54,Arena Corinthians,visitante,SAO PAULO - SP,pro,Gilberto,17' (1ºT),17.0
Brasileirao,2017,54,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Gabriel,40' (1ºT),40.0
Brasileirao,2017,54,Arena Corinthians,mandante,CORINTHIANS - SP,pro,Jadson,18' (2ºT),63.0
Brasileirao,2017,54,Arena Corinthians,visitante,SAO PAULO - SP,pro,Wellington Nem,38' (2ºT),83.0
Brasileirao,2017,55,Mineirão,mandante,CRUZEIRO - MG,pro,Ábila,16' (2ºT),61.0
Brasileirao,2017,55,Mineirão,mandante,CRUZEIRO - MG,pro,Ábila,34' (2ºT),79.0
Brasileirao,2017,56,Arena da Baixada,visitante,SANTOS - SP,pro,Kayke,27' (1ºT),27.0
Brasileirao,2017,56,Arena da Baixada,visitante,SANTOS - SP,pro,Kayke,36' (1ºT),36.0
Brasileirao,2017,57,Arena do Grêmio,mandante,GREMIO - RS,pro,Cortez,40' (2ºT),85.0
Brasileirao,2017,58,Manoel Barradas,mandante,VITORIA - BA,pro,Kieza,19' (1ºT),19.0
Brasileirao,2017,58,Manoel Barradas,mandante,VITORIA - BA,pro,Neilton,20' (2ºT),65.0
